key	FR	EN	DE
You are trying to edit a test where another user has just changed the skin settings. The view will be refreshed.	Vous essayez d'éditer un test dont les propriétés de skin ont été changées par un autre utilisateur. L’aperçu va être actualisé.	You are trying to edit a test where another user has just changed the skin settings. The view will be refreshed.	Sie bearbeiten einen Test, bei dem ein anderer Benutzer gerade die Skin Settings geändert hat. Die Ansicht wird aktualisiert.
Please enter at least one character for the name.	Veuillez saisir au moins un caractère pour le nom.	Please enter at least one character for the name.	Bitte geben Sie für den Namen mindestens ein Zeichen ein.
default	défaut	default	standard
Default	Défaut	Default	Standard
modified	modifié	modified	geändert
You are trying to modify a test which has been deleted by another user. The view will be refreshed.	Le test que vous souhaitez modifier a été effacé par un autre utilisateur. L’aperçu va être actualisé.	You are trying to modify a test which has been deleted by another user. The view will be refreshed.	Sie versuchen, einen Test zu ändern, der von einem anderen Benutzer gelöscht wurde. Die Ansicht wird aktualisiert.
You are trying to add a fluid test block to a test which has been deleted by another user. The view will be refreshed.	Vous essayez d'ajouter un bloc de test fluide à un test qui a été supprimé par un autre utilisateur. L’aperçu sera actualisé.	You are trying to add a fluid test block to a test which has been deleted by another user. The view will be refreshed.	Sie versuchen einen Fluid Test Block zu einem Test hinzuzufügen, der von einem anderen Benutzer gelöscht wurde. Die Ansicht wird aktualisiert.
You are trying to update a test which has been deleted by another user. The view will be refreshed.	Le test dont vous voulez mettre à jour a été effacé par un autre utilisateur. L’aperçu sera actualisé.	You are trying to update a test which has been deleted by another user. The view will be refreshed.	Sie versuchen, einen Test zu aktualisieren, der von einem anderen Benutzer gelöscht wurde. Die Ansicht wird aktualisiert.
You are trying to add a label to a test which has been deleted by another user. The view will be refreshed.	Le test dont vous voulez ajouter un label a été effacé par un autre utilisateur. L’aperçu sera actualisé.	You are trying to add a label to a test which has been deleted by another user. The view will be refreshed.	Sie versuchen, ein Label zu einem Test hinzuzufügen, der von einem anderen Benutzer gelöscht wurde. Die Ansicht wird aktualisiert.
The test you are trying to check has been deleted by another user. The view will be refreshed.	Le test dont vous voulez verifier a été effacé par un autre utilisateur. L’aperçu sera actualisé.	The test you are trying to check has been deleted by another user. The view will be refreshed.	Der Test, den Sie prüfen wollen, wurde von einem anderen Benutzer gelöscht. Die Ansicht wird aktualisiert.
You are trying to add a testpool to a test which has been deleted by another user. The view will be refreshed.	Vous essayez d'ajouter un testpool à un test qui a été supprimé par un autre utilisateur. L’aperçu sera actualisé.	You are trying to add a testpool to a test which has been deleted by another user. The view will be refreshed.	Sie versuchen, einen Test Pool zu einem Test hinzuzufügen, der von einem anderen Benutzer gelöscht wurde. Die Ansicht wird aktualisiert.
This testpool does already exist. Try using a different name.	Un testpool portant ce nom existe déjà. Essayez d'utiliser un autre nom.	This testpool does already exist. Try using a different name.	Dieser Testpool existiert bereits. Versuchen Sie einen anderen Namen zu vergeben.
You are trying to delete a testpool of a test which has been deleted by another user. The view will be refreshed.	Vous essayez de supprimer un testpool d’un test qui a été supprimé par un autre utilisateur. L’aperçu sera actualisé.	You are trying to delete a testpool of a test which has been deleted by another user. The view will be refreshed.	Sie versuchen, einen Test Pool eines Tests zu bearbeiten, der von einem anderen Benutzer gelöscht wurde. Die Ansicht wird aktualisiert.
A variable with that name does already exist. Please use a different name.	Une variable portant ce nom existe déjà. Essayez d'utiliser un autre nom.	A variable with that name does already exist. Please use another name.	Eine Variable dieses Namens existiert bereits. Wählen Sie einen anderen Namen.
Modify account details	Modifier votre profil	Modify account details	Account Details ändern
There was a problem retrieving this path. Please refresh your browser!	Un problème est survenu lors de la récupération de ce chemin. Veuillez actualiser votre navigateur!	There was a problem retrieving this path. Please refresh your browser!	Auf diesen Pfad kann nicht zugegriffen werden. Bitte laden sie das Browserfenster neu.
Create test takers from CSV-file	Créer des participants à partir du fichier CSV	Create test takers from CSV-file	Teilnehmer von CSV Datei erstellen
Your test takers (logins) have been created successfully!	Vos participants (logins) ont été créés avec succès!	Your test takers (logins) have been created successfully!	Ihre Teilnehmer (Logins) wurden erfolgreich erstellt.
Edit Profile	Modifier mon profil	Edit Profile	Profil bearbeiten
Logout	Se déconnecter	Logout	Abmelden
Modify account details	Modifier les détails de mon compte	Modify account details	Account bearbeiten
Language:	Langue :	Language:	Sprache:
Email Address:	Adresse de messagerie 	Email Address:	Email:
Current Password:	Mot de passe actuel	Current Password:	Aktuelles Passwort:
New Password:	Nouveau mot de passe	New Password:	Neues Passwort:
Confirm New Password:	Confirmez le nouveau mot de passe	Confirm New Password:	Neues Passwort wiederholen:
Update Email	Mettre à jour l'adresse de messagerie	Update Email	Email ändern
Update Password	Mettre à jour le mot de passe	Update Password	Passwort ändern
The new password and new password confirmation values do not match.	La confirmation du nouveau de mot de passe ne correspond pas au nouveau mot de passe.	The new password and new password confirmation values do not match.	Das neue Passwort und die Wiederholung des Passwortes stimmen nicht überein!
No server data returned	Aucune donnée de serveur retournée	No server data returned	Der Server hat keine Daten geliefert.
Exceeded incorrect password attempts. Your account has been disabled. <br><strong>Please contact your system adminstrator to re-enable this account.</strong>	Dépassement des tentatives de mot de passe incorrect. Votre compte a été désactivé. <br> <strong> Veuillez contacter votre administrateur système pour réactiver ce compte. </strong>	Exceeded incorrect password attempts. Your account has been disabled. <br><strong>Please contact your system adminstrator to re-enable this account.</strong>	Zuviele falsche Login Versuche. Ihr Account wurde deaktiviert. <br><strong>Bitte kontaktieren Sie Ihren Administrator um den Account wieder zu aktivieren.</strong>
User is not logged in.	L'utilisateur n'est pas connecté.	User is not logged in.	Benutzer nicht eingeloggt.
Account has been disabled.	Compte a été désactivé.	Account has been disabled.	Account wurde deaktiviert.
Language is not available.	Cette langue n'est pas disponible.	Language is not available.	Diese Sprache steht nicht zur Verfügung.
Language successfully updated.	Langue mise à jour avec succès.	Language successfully updated.	Sprache erfolgreich aktualisiert.
Password successfully updated.	Mot de passe mise à jour avec succès.	Password successfully updated.	Passwort erfolgreich aktualisiert.
Email successfully updated.	Adresse de messagerie mise à jour avec succès.	Email successfully updated.	Email erfolgreich aktualisiert.
Current password same as new password. Password not modified.	Mot de passe actuel identique au nouveau mot de passe. Mot de passe non modifié.	Current password same as new password. Password not modified.	Aktuelles Passwort und neues Passwort stimmen überein. Passwort nicht geändert.
You do not have permission to perform the requested function on this or these object(s). An item or items within this path were found which you may not remove.	Vous n'avez pas l'autorisation d’exécuter la fonction demandée sur ce ou ces objet(s). Un ou plusieurs éléments ont été trouvés sur ce chemin,  que vous ne pouvez pas supprimer.	You do not have permission to perform the requested function on this or these object(s). An item or items within this path were found which you may not remove.	Keine Berechtigung! In diesem Pfad gibt es mindestens ein Element, das Sie nicht entfernen dürfen.
You do not have permission to perform the requested function on this or these object(s)	Vous n'avez pas l'autorisation d’exécuter la fonction demandée sur ce ou ces objet(s).	You do not have permission to perform the requested function on this or these object(s).	Keine Berechtigung! Sie dürfen die gewünschte Funktion auf diesem Objekt oder diesen Objekten nicht ausführen.
There was a problem retrieving this path. Please refresh your browser! If this error message persists inform your administrator.	Un problème est survenu lors de la récupération de ce chemin. Veuillez rafraîchir votre navigateur! Si ce message d'erreur persiste, informez votre administrateur.	There was a problem retrieving this path. Please refresh your browser! If this error message persists inform your administrator.	Dieser Pfad konnte nicht gefunden werden. Laden Sie ihr Browserfenster neu. Wenn der Fehler weiterhin besteht, informieren Sie den Administrator.
One or more test takers you are trying to move have been deleted by another user. The view will be refreshed.	Un ou plusieurs des objets, que vous essayez de copier, ont été effacés. L’aperçu sera actualisé.	One or more test takers you are trying to move have been deleted by another user. The view will be refreshed.	Einer oder mehrere der Teilnehmer, die Sie verschieben wollen, wurde von einem anderen Benutzer gelöscht. Die Ansicht wird aktualisiert.
The test you have selected has been deleted by another user. Please select another test.	Le test que vous avez sélectionné a été supprimé par un autre utilisateur. Veuillez sélectionner un autre test.	The test you have selected has been deleted by another user. Please select another test.	Der Test , den Sie ausgewählt haben, wurde von einem anderen Benutzer gelöscht. Bitte wählen Sie einen anderen Test.
There is a problem with your database structure. Please contact the administrator!	Il y a un problème avec la structure de votre base de données. Veuillez contacter l'administrateur!	There is a problem with your database structure. Please contact the administrator!	Es gibt ein Problem mit Ihrer Datenbankstruktur. Bitte kontaktieren Sie den Administrator.
The test taker you are trying to rename has been deleted by another user. The view will be refreshed.	Le participant dont vous voulez changer le nom a été effacé par un autre utilisateur. L’aperçu sera actualisé.	The test taker you are trying to rename has been deleted by another user. The view will be refreshed.	Der Teilnehmer, den Sie umbenennen wollen, wurde von einem anderen Benutzer gelöscht. Die Ansicht wird aktualisiert.
The test taker you are trying to rename has been moved to a different folder by another user. The new location will be opened.	Le participant dont vous voulez changer le nom a été déplacé par un autre utilisateur. L’aperçu sera actualisé.	The test taker you are trying to rename has been moved to a different folder by another user. The new location will be opened.	Der Teilnehmer, den Sie umbenennen wollen, wurde von einem anderen Benutzer verschoben. Der neue Ort wird geöffnet.
A test taker with that name does already exist. Try using another name.	Un participant portant ce nom existe déjà. Essayez d'utiliser un autre nom.	A test taker with that name does already exist. Try using another name.	Ein Teilnehmer mit diesem Namen existiert bereits. Vergeben Sie einen anderen Namen.
The test taker you are trying to select has been deleted by another user. The view will be refreshed.	Le participant a été effacé par un autre utilisateur. L’aperçu sera actualisé.	The test taker you are trying to select has been deleted by another user. The view will be refreshed.	Der Teilnehmer, den Sie auswählen wollen, wurde von einem anderen Benutzer gelöscht. Die Ansicht wird aktualisiert.
Nothing in the clipboard.	Rien dans le presse-papiers.	Nothing in the clipboard.	Nichts in der Zwischenablage.
Double-click element to open it or select elements to copy or move them!	Double-cliquez sur un élément pour l'ouvrir, ou sélectionnez des éléments pour les copier ou les déplacer !	Double-click element to open it or select elements to copy or move them!	Doppelklick zum Öffnen oder auswählen zum Kopieren oder Verschieben.
Open in folder	Ouvrir dans le dossier	Open in folder	In Ordner öffnen
Copy selection	Copier la sélection	Copy selection	Auswahl kopieren
Cut selection (Move)	Couper la sélection (Déplacer)	Cut selection (Move)	Auswahl ausschneiden (verschieben)
Exit without Saving	Fermer sans enregistrer	Close without Saving	Schließen ohne speichern
Close without Saving	Fermer sans enregistrer	Close without Saving	Schließen ohne speichern
PLEASE SELECT OWNER	VEUILLEZ SÉLECTIONNER UN PROPRIÉTAIRE	PLEASE SELECT OWNER	Eigentümer wählen
The original owner of this folder has been removed.<br>Please select a new owner for this folder.	Le propriétaire de ce dossier a été supprimé. <br> Veuillez sélectionner un nouveau propriétaire pour ce dossier.	The original owner of this folder has been removed.<br>Please select a new owner for this folder.	Der ursprüngliche Eigentümer dieses Ordners wurde gelöscht.<br>Bitte wählen sie einen neuen Eigentümer.
Enable All	Activer tout	Enable All	Alle aktivieren
Disable All	Désactiver tout	Disable All	Alle deaktivieren
Test page has been deleted!	La page de test a été supprimée !	Test page has been deleted!	Testseite wurde gelöscht!
Test page has been deleted. Please remove!	Le page de test a été effacé. Veuillez le retirer !	Test page has been deleted. Please remove!	Testseite wurde gelöscht! Bitte entfernen!
link stimulus:	"Relier stimulus&nbsp;:"	link stimulus:	Stimulus verknüpfen:
Linked stimulus	Stimulus relié	Linked stimulus	Verknüpfter Stimulus
page id:	"id de la page&nbsp;:"	page id:	Seiten-ID:
page name:	"nom de la page&nbsp;:"	page name:	Seitenname:
page code:	"code de la page&nbsp;:"	page code:	Seitencode:
no language	Pas de langue	no language	Keine Sprache
no stimulus	Pas de stimulus	no stimulus	Kein Stimulus
DISABLE	Désactiver :	DISABLE	Deaktivieren:
ENABLE	Activer :	ENABLE	Aktivieren:
change language	changer la langue	change language	Sprache wechseln
insert media element	insérer un élément média	insert media element	Medienelement einfügen
edit contents	éditer le contenu	edit contents	Inhalte bearbeiten
clone language block as new language	cloner le bloc de langue en une nouvelle langue	clone language block as new language	Sprachblock als neue Sprache klonen.
delete language block	supprimer le bloc de langue	delete language block	Sprachblock löschen.
set label	définir l'étiquette	set label	Label setzen
new field	nouveau champ	new field	Neues Feld
yes	qui	yes	ja
no	non	no	nein
Testpool has been deleted!	Le pool de test a été effacé !	Testpool has been deleted!	Testpool gelöscht!
Test has been deleted!	Le test a été effacé !	Test has been deleted!	Test gelöscht!
DE	Allemand	German	Deutsch
EN	Anglais	English	Englisch
FR	Français	French	Französisch
LU	Luxembourgeois	Luxembourgish	Luxemburgisch
No choices available	Aucun choix disponible	No choices available	Keine Auswahl vorhanden
You have not saved your permisison changes! Do you wish to continue editing, or exit?	Vous n'avez pas sauvegardé vos changements de permission ! Voulez-vous continuer à modifier, ou quitter ?	You have not saved your permisison changes! Do you wish to continue editing, or exit?	Sie haben Ihre Änderungen nicht gespeichert! Wollen Sie die Bearbeitung fortsetzen oder beenden?
Assign new language	Attribuer une nouvelle langue	Assign new language	Neue Sprache zuordnen
Overrides	Overrides	Overrides	Sonderregeln
as test	Comme test	as test	Wie Test
no data yet	Aucune donnée	no data yet	Keine Daten
Import aborted. The following logins (Test takers) do already exist:	Importation interrompue. Les logins suivants (Test takers) existent déjà :	Import aborted. The following logins (Test takers) do already exist:	Import abgebrochen! Folgende Teilnehmer existieren bereits:
Please choose another naming! Logins (Test takers) within your chosen name range do already exist:	Veuillez choisir un autre nom ! Les noms d'utilisateurs (Test takers) au sein de la série de noms choisis existent déjà  :	Please choose another naming! Logins (Test takers) within your chosen name range do already exist:	Bitte wählen Sie eine andere Namensgebung! Es gibt bereits Teilnehmer innerhalb des gewählten Musters:
<p><strong>The following files could not be uploaded, as they are too big:</strong></p>%@<p>The maximum is set to %@ on this server. Please contact your administrator to change this setting if necessary.</p>	<p><strong>Les fichiers suivants n'ont pas pu être téléchargés, car ils sont trop gros:</strong></p>%@<p>Le maximum est fixé à %@ sur ce serveur. Veuillez contacter votre administrateur pour modifier ce paramètre si nécessaire.</p>	<p><strong>The following files could not be uploaded, as they are too big:</strong></p>%@<p>The maximum is set to %@ on this server. Please contact your administrator to change this setting if necessary.</p>	<p><strong>Folgende Dateien konnten nicht hochgeladen werden, weil sie zu groß sind:</strong></p>%@<p>Die maximale Größe ist auf diesem Server auf %@ gesetzt. Bitte wenden Sie sich an Ihren Administrator.</p>
The following file(s) could not be uploaded, as they do not match one of the accepted file formats:	Le ou les fichiers suivants n'ont pas pu être téléchargés, car ils ne correspondent pas à l'un des formats de fichiers acceptés :	The following file(s) could not be uploaded, as they do not match one of the accepted file formats:	Folgende Datei(en) konnten nicht hochgeladen werden, weil sie keinem der zulässigen Dateiformate entsprechen:
Please drop file here!	Veuillez déposer le fichier ici ! 	Please drop file here!	Datei hier ablegen
Your browser does not support asynchronous uploads. Please update to the newest version!	Votre navigateur ne prend pas en charge les téléchargements asynchrones. Veuillez vous mettre à jour avec la dernière version !	Your browser does not support asynchronous uploads. Please update to the newest version!	Ihr Browser unterstützt keine asynchronen Uploads. Bitte machen Sie ein Update auf die neueste Version!
Please upload only one file at a time!	Veuillez ne télécharger qu'un seul fichier à la fois !	Please upload only one file at a time!	Bitte laden Sie immer nur eine Datei hoch!
"The server sent the following error message for file ""%@"": %@"	"Le serveur a envoyé le message d'erreur suivant pour le fichier ""%@"" : %@"	"The server sent the following error message for file ""%@"": %@"	"Der Server gibt folgende Fehlermeldung für die Datei ""%@"" zurück: %@"
"There was a problem reading the file ""%@"":<br><br>%@"	"La lecture du fichier ""%@"" a rencontré un problème :<br><br>%@"	"There was a problem reading the file ""%@"":<br><br>%@"	"Es gab ein Problem beim Lesen der Datei ""%@"":<br><br>%@"
Error: %@	Erreur : %@	Error: %@	Fehler: %@
Alert	Alerte	Alert	Achtung
hide player interface	masquer l'interface du lecteur	hide player interface	Player-Oberfläche unsichtbar machen (nur Ton).
Image options:	Options d'image :	Image options:	Bild Optionen:
Vertical alignment:	Alignement vertical :	Vertical alignment:	Vertikale Ausrichtung:
baseline (default)	Ligne de base (par défaut)	baseline (default)	Grundlinie (standard)
top	Haut	top	Oben
middle	Milieu	middle	Mitte
bottom	Bas	bottom	Unten
The page group you are trying to select has been deleted by another user. The view will be refreshed.	Le groupe de pages que vous essayez de sélectionner a été supprimé par un autre utilisateur. La visualisation va être rafraîchie.	The page group you are trying to select has been deleted by another user. The view will be refreshed.	Die Seitengruppe, die Sie auszuwählen versuchen, wurde von einem anderen Benutzer gelöscht. Die Ansicht wird aktualisiert.
Hide time out message	Masquer le message de fin de temps	Hide time out message	Keine Timeout Nachricht
User profile	Profil de l'utilisateur	User profile	Benutzerprofil
WARNING: This is an insecure password. It is recommended to use a mix of capital, lower, and numeric values with at least 8 characters, or a minimum of any 12 characters.	ATTENTION : Il s'agit d'un mot de passe non sécurisé. Il est recommandé d'utiliser un mélange de majuscules, de minuscules et de valeurs numériques avec au moins 8 caractères, ou un minimum de 12 caractères.	WARNING: This is an insecure password. It is recommended to use a mix of capital, lower, and numeric values with at least 8 characters, or a minimum of any 12 characters.	Warnung: Dies ist ein unsicheres Passwort. Es wird empfohlen einen Mix aus Großbuchstaben, Kleinbuchstaben und Ziffern mit nicht weniger als 8 Zeichen oder 12 beliebige Zeichen zu wählen.
WARNING: New password confirmation value does not match new password value.	ATTENTION : La valeur de confirmation du nouveau mot de passe ne correspond pas à la valeur du nouveau mot de passe.	WARNING: New password confirmation value does not match new password value.	Warnung: Neues Passwort und Passwortbestätigung stimmen nicht überein.
New password may not exceed 50 characters in length.	Le nouveau mot de passe ne doit pas dépasser 50 caractères.	New password may not exceed 50 characters in length.	Das neue Passwort darf nicht mehr als 50 Zeichen lang sein.
Edit email address	Modifier l'adresse électronique	Edit email address	Email Adresse bearbeiten
Error: missing parameter '$key'!	Erreur : paramètre '$key' manquant !	Error: missing parameter '$key'!	Fehler: Fehlender Parameter '$key'
Unable to generate random session ID string:	Impossible de générer une chaîne d'identification de session aléatoire :	Unable to generate random session ID string:	Zufällige Session ID String konnte nicht erzeugt werden:
User has been successfully logged in.	L'utilisateur a été connecté.	User has been successfully logged in.	Benutzer erfolgreich angemeldet.
User has been logged out.	L'utilisateur a été déconnecté.	User has been logged out.	Benutzer abgemeldet.
Invalid password change input data.	Données non valides lors de la modification du mot de passe.	Invalid data on password modification.	Ungültige Daten bei der Änderung des Passworts.
Session not valid.	Session non valide.	Session not valid.	Session ungültig.
Bad or missing input value(s)	Valeur(s) d'entrée incorrecte(s) ou manquante(s)	Bad or missing input value(s)	Schlechte oder fehlende Eingabewerte
Cannot assign new password. New password does not match confirmation value.	Impossible d'attribuer un nouveau mot de passe. Le nouveau mot de passe ne correspond pas à la valeur de confirmation.	Cannot assign new password. New password does not match confirmation value.	Das neue Passwort kann nicht zugewiesen werden. Passwort und Bestätigung stimmen nicht überein.
Cannot assign new password. Current password is not correct.	Impossible d'attribuer un nouveau mot de passe. Le mot de passe actuel n'est pas correct.	Cannot assign new password. Current password is not correct.	Das neue Passwort kann nicht zugewiesen werden. Das aktuelle Passwort ist nicht korrekt.
Password exceeded maximum allowable length (50 characters).	Le mot de passe a dépassé la longueur maximale autorisée (50 caractères).	Password exceeded maximum allowable length (50 characters).	Passwort überschreitet die maximale Länge von 50 Zeichen.
Couldn't connect to LDAP service.	Impossible de se connecter au service LDAP.	Couldn't connect to LDAP service.	Konnte nicht mit LDAP Dienst verbinden.
Couldn't bind to LDAP as application user.	Impossible de se lier au LDAP en tant qu'utilisateur d'application.	Couldn't bind to LDAP as application user.	Konnte nicht mit LDAP als Anwendungsbenutzer verbinden.
Search on LDAP failed.	La recherche dans le LDAP a échoué.	Search on LDAP failed.	Suche auf LDAP fehlgeschlagen.
Couldn't pull search results from LDAP.	Impossible d'extraire les résultats de recherche du LDAP.	Couldn't pull search results from LDAP.	Konnte keine Suchergebnisse von LDAP beziehen.
Username not found on LDAP.	Nom d'utilisateur non trouvé dans le LDAP.	Username not found on LDAP.	Benutzername auf LDAP nicht gefunden.
Username found more than once on LDAP.	Nom d'utilisateur trouvé plus d'une fois dans le LDAP.	Username found more than once on LDAP.	Benutzername auf LDAP mehrfach gefunden.
Account password has expired.	Le mot de passe du compte a expiré.	Account password has expired.	Account Passwort abgelaufen.
Your account is not a assigned to any user groups. Please contact the administrator if you need to work within OASYS.	Votre compte n'est attribué à aucun groupe d'utilisateurs. Veuillez contacter l'administrateur si vous avez besoin de travailler dans OASYS.	Your account is not a assigned to any user groups. Please contact the administrator if you need to work within OASYS.	Ihr Account ist keiner Benutzergruppe zugeordnet. Bitte wenden Sie sich an den Administrator wenn Sie in OASYS arbeiten müssen.
No Folder Owner Found	Propriétaire de dossier supprimé.	No Folder Owner Found	Besitzer des Ordners nicht gefunden.
content	contenu	content	Content
Content:	Contenu:	Content:	Content:
Pages	Pages	Pages	Seiten
browsing page groups	Parcourir des groupes de pages	browsing page groups	Gruppen durchsuchen
Close page	Fermer la page	Close page	Seite schließen
Edit page group	Modifier le groupe	Edit page group	Gruppe bearbeiten
Edit page	Modifier la page	Edit page	Seite bearbeiten
Duplicate page group	Dupliquer le groupe	Duplicate page group	Gruppe duplizieren
Duplicate page	Dupliquer la page	Duplicate page	Seite duplizieren
Preview page group	Aperçu du groupe	Preview page group	Vorschau Gruppe
Preview page	Aperçu de la page	Preview page	Vorschau Seite
Page Groups	Groupes de pages	Page Groups	Seitengruppen
page groups	groupes de pages	page groups	Seitengruppen
page group	Groupe de pages	page group	Seitengruppe
New page	Nouvelle page	New page	Neue Seite
Page Properties	Propriétés de page	Page Properties	Seiten Eigenschaften
Rename page group	Renommer le groupe	Rename page group	Gruppe umbenennen
And a new code:	Et un nouveau code :	And a new code:	Und einen neuen Code:
Edit name and code	Modifier le nom et le code	Edit name and code	Name und Code bearbeiten
New page group	Nouveau groupe	New page group	Neue Gruppe
editing page	édition de page	editing page	Editieren einer Seite
Are you sure you want to delete the interaction?	Êtes-vous sûr de vouloir supprimer l'interaction ?	Are you sure you want to delete the interaction?	Sind Sie sicher, dass Sie die Interaktion löschen wollen?
No valid session was found. Please log in again.	Aucune session valide n'a été trouvé. Reconnectez vous s.v.p.	No valid session was found. Please log in again.	Keine gültige Session wurde gefunden. Bitte loggen Sie sich neu ein.
Click string to edit other languages	Cliquer pour modifier les langues	Click string to edit other languages	Klicken um Sprachen zu bearbeiten
* No strings found, click here to add. *	* Aucun texte trouvé, cliquez ici pour l’ajouter ! *	* No strings found, click here to add! *	* Kein Variablen-Text gefunden, klicken Sie bitte hier!  *
<br>A target subfolder already exists on which you do not have write permissions.	<br>Un sous-dossier cible existe déjà sur lequel vous ne disposez pas des autorisations d’écriture.	<br>A target subfolder already exists on which you do not have write permissions.	<br>Es ist bereits ein Zielunterordner vorhanden, für den Sie keine Schreibberechtigung haben.
You are trying to add a password to a test taker which has been deleted by another user. The view will be refreshed.	Vous essayez d'ajouter un mot de passe à un participant qui a été supprimé par un autre utilisateur. La visualisation va être rafraîchie. 	You are trying to add a password to a test taker which has been deleted by another user. The view will be refreshed.	Sie versuchen, einem Teilnehmer, der von einem anderen Benutzer gelöscht wurde, ein Kennwort hinzuzufügen. Die Ansicht wird aktualisiert.
You are trying to delete a password of a test taker which has been deleted by another user. The view will be refreshed.	Vous essayez de supprimer le mot de passe d'un participant qui a été supprimé par un autre utilisateur. La visualisation va être rafraîchie.	You are trying to delete a password of a test taker which has been deleted by another user. The view will be refreshed.	Sie versuchen, ein Passwort eines Teilnehmers zu löschen, das von einem anderen Benutzer gelöscht wurde. Die Ansicht wird aktualisiert.
The test taker you are trying to select has been moved to a different folder by another user. The new location will be opened.	Le participant que vous essayez de sélectionner a été déplacé vers un autre dossier par un autre utilisateur. Le nouvel emplacement va être ouvert.	The test taker you are trying to select has been moved to a different folder by another user. The new location will be opened.	Der Teilnehmer, den Sie auswählen möchten, wurde von einem anderen Benutzer in einen anderen Ordner verschoben. Der neue Standort wird geöffnet.
The test taker you are trying to edit has been deleted by another user. The view will be refreshed.	Le participant que vous essayez de modifier a été supprimé par un autre utilisateur. La visualisation va être rafraîchie.	The test taker you are trying to edit has been deleted by another user. The view will be refreshed.	Der Teilnehmer, den Sie bearbeiten möchten, wurde von einem anderen Benutzer gelöscht. Die Ansicht wird aktualisiert.
This password has been deleted by another user. Leaving edit mode.	Ce mot de passe a été supprimé par un autre utilisateur. Quitter le mode d'édition.	This password has been deleted by another user. Leaving edit mode.	Dieses Passwort wurde von einem anderen Benutzer gelöscht. Bearbeitungsmodus verlassen.
You are trying to add a test for a test taker which has been deleted by another user. Leaving edit mode.	Vous essayez d'ajouter un test pour un participant qui a été supprimé par un autre utilisateur. Quitter le mode d'édition.	You are trying to add a test for a test taker which has been deleted by another user. Leaving edit mode.	Sie versuchen, einen Test für einen Teilnehmer hinzuzufügen, der von einem anderen Benutzer gelöscht wurde. Bearbeitungsmodus verlassen.
You are trying to add a test to a password which has been deleted by another user. Leaving edit mode.	Vous essayez d'ajouter un test à un mot de passe qui a été supprimé par un autre utilisateur. Quitter le mode d'édition.	You are trying to add a test to a password which has been deleted by another user. Leaving edit mode.	Sie versuchen, ein Passwort, das von einem anderen Benutzer gelöscht wurde, einen Test hinzuzufügen. Bearbeitungsmodus verlassen.
You are trying to edit a test taker which has been deleted by another user. Leaving edit mode.	Vous essayez de modifier un participant qui a été supprimé par un autre utilisateur. Quitter le mode d'édition.	You are trying to edit a test taker which has been deleted by another user. Leaving edit mode.	Sie versuchen, einen Teilnehmer zu bearbeiten, der von einem anderen Benutzer gelöscht wurde. Bearbeitungsmodus verlassen.
You are trying to delete results of a test taker which has been deleted by another user. The view will be refreshed.	Vous essayez de supprimer les résultats d'un participant qui a été supprimé par un autre utilisateur. La visualisation va être rafraîchie.	You are trying to delete results of a test taker which has been deleted by another user. The view will be refreshed.	Sie versuchen, die Ergebnisse eines Teilnehmers zu löschen, der von einem anderen Benutzer gelöscht wurde. Die Ansicht wird aktualisiert.
You are trying to delete results of a password which has been deleted by another user. The view will be refreshed.	Vous essayez de supprimer les résultats d'un mot de passe qui a été supprimé par un autre utilisateur. La visualisation va être rafraîchie.	You are trying to delete results of a password which has been deleted by another user. The view will be refreshed.	Sie versuchen, Ergebnisse eines Passworts zu löschen, das von einem anderen Benutzer gelöscht wurde. Die Ansicht wird aktualisiert.
You are trying to delete results of a tests belonging to a password which has been deleted by another user. The view will be refreshed.	Vous essayez de supprimer les résultats d'un test appartenant à un mot de passe qui a été supprimé par un autre utilisateur. La visualisation va être rafraîchie.	You are trying to delete results of a tests belonging to a password which has been deleted by another user. The view will be refreshed.	Sie versuchen, die Ergebnisse eines Tests zu löschen, der zu einem Kennwort gehört, das von einem anderen Benutzer gelöscht wurde. Die Ansicht wird aktualisiert.
The folder where you are trying to create the test takers has been deleted by another user. Operation aborted.	Le dossier dans lequel vous essayez de créer les participants au test a été supprimé par un autre utilisateur. Opération annulée.	The folder where you are trying to create the test takers has been deleted by another user. Operation aborted.	Der Ordner, in dem Sie versuchen, die Teilnehmer zu erstellen, wurde von einem anderen Benutzer gelöscht. Vorgang abgebrochen.
The test taker you are trying to check has been deleted by another user. The view will be refreshed.	Le participant que vous essayez de vérifier a été supprimé par un autre utilisateur. La visualisation va être rafraîchie.	The test taker you are trying to check has been deleted by another user. The view will be refreshed.	Der Teilnehmer, den Sie überprüfen möchten, wurde von einem anderen Benutzer gelöscht. Die Ansicht wird aktualisiert.
All days	Tous les jours	All days	Alle Tage
Bad input request data detected.	Mauvaises données de demande d'entrée détectées.	Bad input request data detected.	Eingabe fehlerhafter Anforderungsdaten erkannt.
Cancel	Annuler	Cancel	Abbrechen
Could not determine section referral source.	Impossible de déterminer la source de référence de la section.	Could not determine section referral source.	Die Bezugsquelle der aufgerufenen Sektion kann nicht ermittelt werden.
Could not process test item permissions.	Impossible de traiter les autorisations de l'élément de test.	Could not process test item permissions.	Die Berechtigungen für die Testelemente konnten nicht verarbeitet werden.
Daily time restriction	Restriction horaire quotidienne	Daily time restriction	Tägliche Zeitbeschränkung
Date restriction	Restriction de date	Date restriction	Datumseinschränkung
